Species,Location,Latitude,Longitude,Number of Samples taken,Notes,Date,Number of mtDNA,Number of GBS
Adenocystis utricularis,Bull Creek North,-46.176367,170.135283,16,BCN,2-Jun-22,15,
Adenocystis utricularis,Bull Creek South,-46.1789,170.13178,23,BCS,2-Jun-22,15,
Adenocystis utricularis,Campbell Point,-46.4098,169.79707,12,CP,18-May-22,12,
Adenocystis utricularis,Kaka Point,-46.37274,169.78289,13,KP,18-May-22,13,
Adenocystis utricularis,Kuri Bush,-46.01336,170.24089,24,KB,17-Feb-22,15,
Adenocystis utricularis,Kuri Bush South,-46.03433,170.22066,12,KBS,17-Feb-22,10,
Adenocystis utricularis,Lawyer's Head,-45.909083,170.532167,10,LH,9-Jun-22,10,
Adenocystis utricularis,Mitchell Rocks North,-46.27214,169.97346,24,MRN,18-May-22,15,
Adenocystis utricularis,Mitchell Rocks South,-46.27205,169.97355,13,MRS,18-May-22,13,
Adenocystis utricularis,Saint Clair Beach,-45.909783,170.499817,10,SCB,9-Jun-22,10,
Adenocystis utricularis,Taieri Beach North,-46.07106,170.2012,24,TBN,17-Feb-22,15,
Adenocystis utricularis,Watson's Road North,-46.16037,170.15504,24,WRN,17-Feb-22,16,
Adenocystis utricularis,Watson's Road South,-46.16326,170.15103,15,WRS,17-Feb-22,11,
